latitude;longitude;Altitude;caida;Temperature_1;Temperature_2;Barometric_Pressure;pitch;rueda;yaw;Accelerometer_X;Accelerometer_Y;Accelerometer_Z
38.540581;-121.746849;33.900002;1;30.336652;30.63098;1010.034607;1.978;2.6772;-10.1844;0.0546;-0.7995;0.6045
38.540581;-121.746841;35.200001;1;30.342597;30.64105;1010.066088;1.9596;2.6864;-10.1568;0.0468;-0.7722;0.6006
38.540581;-121.746841;34.599998;1;30.348542;30.651119;1010.052217;1.978;2.6864;-10.1016;0.0585;-0.7917;0.6123
38.540581;-121.746849;33.700001;1;30.354486;30.651119;1010.054719;1.9596;2.7232;-10.212;0.0702;-0.7683;0.6123
38.540577;-121.746849;34.5;1;30.36043;30.671261;1010.102588;2.0148;2.6496;-10.212;0.0585;-0.7956;0.6084
38.540573;-121.746849;34.599998;1;30.384205;30.671261;1010.078617;1.9872;2.6864;-10.1568;0.0546;-0.78;0.6123
38.540577;-121.746849;34.5;1;30.384205;30.671261;1010.067274;2.0056;2.668;-10.1752;0.0351;-0.7683;0.6045
38.540577;-121.746849;34.700001;1;30.402035;30.68133;1010.078572;1.9688;2.7232;-10.1016;0.0546;-0.7917;0.6318
38.540581;-121.746841;33.799999;1;30.419862;30.701469;1010.059613;1.978;2.6588;-10.166;0.0624;-0.7878;0.6357
38.540581;-121.746841;33.400002;1;30.407977;30.71154;1009.99663;1.9596;2.6496;-10.12;0.0741;-0.7995;0.624
38.540585;-121.746841;32.799999;1;30.431747;30.71154;1010.089863;1.9872;2.6496;-10.1568;0.0429;-0.7839;0.6006
38.540581;-121.746841;32.400002;1;30.44363;30.721609;1010.068352;1.9596;2.6956;-10.1384;0.0507;-0.7995;0.6084
38.540585;-121.746841;32.200001;1;30.455513;30.721609;1010.12755;1.9688;2.7048;-10.1384;0.0429;-0.7878;0.6006
38.540581;-121.746841;32.200001;1;30.467395;30.741751;1010.038101;1.9872;2.6404;-10.1936;0.039;-0.7878;0.6474
38.540581;-121.746841;31.799999;1;30.455513;30.75182;1010.033011;1.9872;2.6864;-10.1476;0.0507;-0.7761;0.6045
38.540581;-121.746834;31.9;1;30.479277;30.771959;1010.053074;1.9596;2.6956;-10.1936;0.0663;-0.7956;0.6123
38.540581;-121.746834;31.4;1;30.491158;30.771959;1010.027833;2.024;2.6404;-10.0924;0.0546;-0.7995;0.6123
